station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
147,10,77285,602,77285,602,1.380288564840892,1.1711538048053534,1.7318648170552369,1.796127157396889,1.6838226720768068,1.9371152713112814,4.97792188486389,4.834140674699926,5.229106660916391,0.03029785747805347,0.105,0.9872170413526222,0.132
148,10,77559,638,77559,638,1.3117570551094109,1.108396520769271,1.5981709183744413,1.6950012919071011,1.5818717851926163,1.8268112295394363,4.973621354687628,4.828074725090716,5.283072689806531,0.021068676476749926,0.526,0.795959441396776,0.808
149,38,86781,971,76282,443,1.660944664772083,1.34068663386156,2.1949918963311483,1.9809240955261558,1.8386051033302704,2.150702240339674,4.899477803606942,4.8050047644788725,5.058633709441805,0.01799133848031914,0.936,0.5474980995310834,0.913
150,29,94685,727,89957,460,1.400956328758317,1.1552253982509377,1.7800739917395774,1.961767516690437,1.8199679504911592,2.127114413874785,5.044441765230203,4.90192723217045,5.356947116899194,0.02067822674444164,0.811,0.711625649753555,0.399
151,53,120491,516,114149,277,1.510756212076275,1.1732332062003223,2.1675124425833743,2.3392275152420963,2.15373174382795,2.562094662586946,5.099921766553967,4.957026054290007,5.358335587456161,0.03288408733126241,0.534,0.6545834694917839,0.366
152,119,641295,1734,602835,935,2.6119433137587165,2.131589784460634,3.4464328426619493,2.9319396695538993,2.81368440320043,3.086286666173505,5.7828398507497525,5.737638281694824,5.834320222624938,0.013043517217169884,0.947,0.5273754898781708,0.744
155,134,23392159,45131,22275649,24450,1.6187112182659809,1.5645607414496294,1.673880489815961,2.73935901425064,2.7183242452913854,2.761083227035907,7.395047852530757,7.368864744750253,7.437881449783837,0.007678853176095735,0.001,1.948259770496763,0.001
158,76,1453878,8855,1253820,3215,1.0967090921895752,1.023872790140547,1.184989770282433,1.89290250748345,1.8382377180107137,1.9499137302887648,6.261762549683297,6.100215658668133,6.718439148497499,0.011508879056545407,0.211,1.1382734794343727,0.274
168,16,53448,307,52647,241,0.7311181349168399,0.5986397232153614,0.9704240011637338,1.1878458738430258,1.0009677771384566,1.3897951712166032,5.221298550599873,4.560379573219559,6.699168670694676,0.023900392554263017,0.909,0.8054893294379883,0.705
173,111,12341383,84532,9822449,23355,1.6300793190541967,1.5749850539655124,1.6838239929904264,2.3323469095326272,2.310109173372383,2.3534460403470403,7.022015239242952,7.0004113024604715,7.060492590627713,0.006188372830498001,0.013,1.63217181208499,0.286
175,91,117949833,40702,117776775,36593,1.7655023337465032,1.7140542480777643,1.8179476066967464,3.411079831147986,3.3920126532332127,3.4299773780275924,8.101488935407705,8.082761012409934,8.13248933511449,0.00473897424934866,0.039,1.3931611630185716,0.001
178,10,235923,537,235923,537,0.7887431261034171,0.6744387082377942,0.9366599827830111,1.5717170109575824,1.4519285185806947,1.701862914098605,5.810811641519027,5.306891150344469,6.890127435023915,0.021660678389073817,0.613,0.752348325196539,0.477
180,10,864401,3172,864401,3172,0.7931818504435452,0.7502884681596714,0.8440994967009388,1.1656780021134425,1.1157481666534312,1.2174669978467463,6.410013072615783,5.934870492764926,7.530643177770163,0.012953436086395792,0.09,2.9403995328507526,0.188
188,23,62804445,137126,62512108,117839,1.1093268119247004,1.0959267918700186,1.1227262791175037,2.1706395308392112,2.1612439827235046,2.1792707926831074,8.099306484822712,7.994926023624988,8.40848034352463,0.010660955835829489,0.001,6.50263671128136,0.001
189,16,2699648,16657,2679169,14996,1.6960842545963066,1.6283257220782943,1.7683754413088755,2.0781599257923706,2.051592205880307,2.1057337199661346,6.447330674130735,6.420796688956246,6.491364684586865,0.005806472722022171,0.162,1.9210509861427807,0.866
191,143,5961916,21556,5262666,7429,1.606154453734829,1.51731376947304,1.703994072516191,2.583756729775236,2.545818618815552,2.622360748040014,6.75648876733149,6.722150911241151,6.820020900487132,0.00857896133373226,0.141,0.9756205327915446,0.077
193,211,7067608,24154,5727160,9038,2.068428288120112,1.9526420029883087,2.2061931325352617,2.663231921065897,2.629131721977362,2.700802266432106,6.763021470727738,6.747034283918325,6.783897759386062,0.006582989933877459,0.386,0.914042865322228,0.259
194,267,17869201,63614,14350601,16160,2.4184677945349744,2.295475470029461,2.558642028092407,2.956825179747683,2.9260676327751467,2.9883663737945336,7.164912018257095,7.154621032153591,7.175474867150304,0.0076595413282017355,0.014,1.454454445559005,0.002
196,201,35716767,40276,34432512,23485,1.697400896108397,1.6438928911400055,1.7595339806261392,2.968264712788786,2.946589780871021,2.9908917173487684,7.555376086899194,7.532377340568026,7.592364100610542,0.0023964012163734116,0.982,0.7304286565958811,0.444
201,142,9413801,31693,8376038,11540,1.5932608857587682,1.520248860954059,1.6794878043566597,2.6155104263922686,2.5850608550216854,2.648561402028304,6.983807904880581,6.948453012195981,7.056352167868451,0.01472233846917137,0.001,2.554728666312379,0.001
205,921,79473220,167344,57781511,18594,1.877088721493562,1.8051908264434058,1.9560404528782736,3.3098833673628114,3.284226216216308,3.3361662745028866,7.780527687565324,7.7656692506381235,7.800182553499712,0.005522496435857727,0.155,0.972259661035828,0.029
206,382,8053742,11082,7244433,4610,1.7924388729048295,1.6620964926420212,1.9414193238436392,2.9961679957127965,2.949261070109954,3.05040117102098,6.875554923295793,6.843581990800032,6.928216077714479,0.007862102775641477,0.649,0.6158114907677598,0.49
208,22,281513,1394,275755,1004,1.0851508496554745,0.9496957434917935,1.251345012108903,1.7945271699019936,1.691661513917104,1.896551091058262,5.60198444233778,5.389402227974963,6.164065638279049,0.020214335920745397,0.242,0.8304980661344155,0.468
209,322,11890127,17171,10763898,6568,1.3129248052224818,1.2425218553479518,1.3933518408832961,2.7558526691389797,2.7158093170418405,2.7951686985347344,7.1304367356574945,7.050347818910511,7.346055259831259,0.008814345610090979,0.178,0.8870658347566852,0.097
210,263,2754194,5096,2532669,2047,1.8307912720479718,1.630798353047624,2.0808366975433885,2.924339736017365,2.851254667892316,3.0061365996196616,6.415973148326203,6.37018725547928,6.483730885260644,0.011562815000741467,0.691,0.5394918047095174,0.704
