station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
144,10,49483,1498,49483,1498,1.610881788686702,1.4344454391648485,1.8642282379886266,1.2153539492623908,1.1339335752746003,1.3074133756065682,4.731258658038642,4.671223768822964,4.837928385400902,0.014100411868014695,0.358,3.2640821694248876,0.703
145,167,218129,2700,142901,160,1.0322899131325978,0.7841607529238251,1.5140246958949548,2.166884122730039,1.9308181919110463,2.416233185220691,5.225397035345426,4.948568579456987,5.856914134729793,0.018973237483919825,1.0,0.3618155812241211,0.989
146,10,57817,1495,57817,1495,1.4503630337247833,1.2914964479486628,1.6538032081179361,1.2100944755667642,1.128853974215603,1.2920285287459778,4.816936622565353,4.7420220568489775,4.943115748252302,0.009298736271349473,0.895,2.9680125491732676,0.766
147,10,32451,1041,32451,1041,1.5824289992001708,1.3709137768564708,1.8703356010360475,1.1719876303846144,1.0800784626910755,1.2725606722657012,4.553401995733809,4.484968209471296,4.677542010350281,0.0192454039793013,0.179,2.8287028104015883,0.87
148,11,47179,1357,45799,1219,1.8010627192212993,1.5458009545203144,2.1403646768061484,1.3696220972932878,1.2748111331997527,1.4693652277592475,4.682502171384038,4.626817519896546,4.773531114520713,0.012366284048121123,0.73,2.4330320632980893,0.721
149,13,78460,2775,67916,1800,1.3950331592274194,1.2567503153899102,1.5669797393417242,1.1161907298468672,1.0467766728452694,1.1947939351054027,4.902293632065457,4.825225574863521,5.061345032832035,0.012823563279426686,0.342,3.853064553141736,0.573
150,21,41421,1306,31809,599,2.014410478175427,1.628211354936873,2.714777537063119,1.5256771470468236,1.3889997874816735,1.6965909496963216,4.505703823680904,4.45630414929089,4.581650470408713,0.011334550619212291,0.998,1.494741867544845,0.544
151,17,21194,774,16653,406,1.629745336169835,1.314428701029103,2.1932224752651863,1.2209074268502595,1.0737843088469434,1.4110279119583755,4.234911079852809,4.160587067929077,4.370360856949898,0.019077074968912477,0.846,1.8101759007721474,0.487
152,29,100535,2580,73173,731,2.159169885670603,1.768142091251971,2.883196385867992,1.929230836809456,1.800369606161275,2.0914483347868336,4.869276056254654,4.820482573014327,4.936149163864385,0.014623477778265337,0.921,0.7987982856561223,0.876
155,10,3054804,51744,3054804,51744,1.633692081756486,1.6000200655373642,1.6708329167092943,1.353243426649246,1.3386920792095025,1.3668167588853926,6.3677451781673975,6.350259083435426,6.403804934697561,0.01653063528784393,0.001,16.453520584136566,0.001
158,22,285061,10917,168292,2208,0.9638907650562692,0.89500946842404,1.052370345251209,0.9169935480495588,0.8561858366032143,0.9831314949406256,5.451129779760336,5.21075225845805,6.137843293487881,0.014483565752793637,0.12,4.451786294854115,0.467
168,15,58041,1419,52253,920,1.6048819136684531,1.37482141203594,1.9592816203494259,1.4524681435119484,1.3458001250774614,1.5772814430500106,4.744544836778586,4.6700365420584555,4.880589604691277,0.018632613326830638,0.358,1.5996939909914694,0.812
173,45,8989897,123737,7342402,43064,1.9833964127564878,1.9286942791740496,2.041343876783328,2.057297141367189,2.040742162882489,2.074589263260471,6.8398979702068,6.830343965911521,6.852773540285405,0.007229151790791866,0.001,4.447360058039321,0.048
175,88,4974303,43715,3792161,6070,1.1393714282857887,1.0854227230726219,1.19857341056,1.7721220570236036,1.7343033535181638,1.8101209794102522,6.402508715566793,6.2799802431359115,6.796283502931256,0.013569684177437757,0.003,2.71465934955028,0.001
178,10,36227,926,36227,926,1.4544265002803427,1.2539251361621577,1.7121403239785844,1.1521146076876363,1.053071496599022,1.2532308665041698,4.568540149377311,4.479587545468106,4.750625650900602,0.010973563043061296,0.915,2.6842988274258186,0.64
180,22,195568,6316,128699,1320,0.8215171210952383,0.74889365183533,0.9175788857313154,0.9200159116265441,0.8447426822054809,1.0048951544424065,5.594082895795666,5.163919780053975,6.703218242690571,0.019010220622974083,0.116,2.9875222679557374,0.444
188,74,23424386,186620,20071355,43604,1.7869004495782117,1.7368614008864796,1.8316465209528756,2.4226152869082562,2.4049427028564763,2.438181801775268,7.252011464541929,7.237850465668862,7.27172825270113,0.0176893303590544,0.001,5.967676592705139,0.001
189,13,961393,23369,917294,19322,2.5361159058006386,2.4205785852655257,2.675247390080124,1.6906032136088514,1.663113725063841,1.7198279577752715,5.933700347120438,5.9252872425889525,5.942872951071974,0.013245725671378827,0.001,7.704798744209956,0.002
191,25,926572,29315,592319,5507,0.9356096458099195,0.8917323693905388,0.9856682774322703,1.0659507625927311,1.0275125092289403,1.1052315113451812,6.1045491704793555,5.8369883634630595,6.928941851354661,0.011976961234633543,0.007,5.249989921910546,0.259
193,28,1586986,29860,1257060,8960,1.181212808213017,1.1333209953227248,1.2380124340264629,1.3455094350214616,1.3150227665857968,1.378824872837964,6.077871491934306,5.972025223996724,6.382501456284,0.005337313800180432,0.539,5.009560242435454,0.059
194,10,2998569,81956,2998569,81956,1.811729839410598,1.7776036237829325,1.8477525762948004,1.2425028090597905,1.230104039005826,1.2543593982625219,6.40536710002016,6.396595233525954,6.419239901519302,0.012173337115845423,0.001,26.23031526371723,0.031
196,14,1981706,45518,1813503,30535,1.5401546149000516,1.4976848675782455,1.5852798591129869,1.2240663684849584,1.2049217099507057,1.2432423650628037,6.132115228086188,6.110334403073946,6.1711641889355535,0.008349775945080296,0.001,14.328208586017313,0.131
201,27,4474324,49991,4188300,31891,2.7217049554399217,2.615237585761191,2.833915882232198,2.228828832426398,2.2059644430147474,2.2525473291030482,6.600091354683698,6.593096316531387,6.607252017783242,0.01343268473459841,0.001,5.079086239352253,0.001
205,13,30008432,238155,29641309,204506,1.270873891758757,1.258659927551372,1.2839763569632026,1.5145876255935207,1.5079422968401268,1.5218286665463665,7.4250019597656465,7.380651862835178,7.574817334983497,0.008848998856287205,0.001,17.998043264737735,0.002
206,12,617745,13893,585321,10765,1.0184603529308696,0.9834351689218694,1.0596279426947348,0.9101830926779959,0.8836276731677164,0.9406267440689746,6.016142804598541,5.83228635406585,6.519142983374858,0.010528689143519565,0.001,10.328387441698064,0.591
208,34,80414,2203,54060,464,2.054698008881095,1.5867327122918222,2.8305258134790154,1.937054769753202,1.7768354574920016,2.1119496140281435,4.728293530649466,4.665122532752771,4.823530137883462,0.017863807563037404,0.921,0.7035565744555874,0.732
209,27,1228740,22125,988492,5622,0.9757422148415328,0.9293597606327706,1.0266323385427965,1.3690210625585084,1.332813443016946,1.4052759943533375,6.269896259649119,6.026737042231204,6.9846670868911644,0.005082477602568192,0.917,2.959033109840222,0.771
210,10,454603,7513,454603,7513,0.8246401070089746,0.7912572992869061,0.8598906042867552,0.6939460002843926,0.6607725659552159,0.7277222505518479,6.273653255106133,5.872933754279968,7.301791287898523,0.012108478944359291,0.002,10.486577559242965,0.648
